i_adc_measurements	float32_t [512]	0x20001210 <i_adc_measurements>	
	[0...99]	float32_t [100]	0x20001210 <i_adc_measurements>	
		i_adc_measurements[201]	float32_t	0.181902707	
		i_adc_measurements[202]	float32_t	-0.0742490366	
		i_adc_measurements[203]	float32_t	-0.0804180875	
		i_adc_measurements[204]	float32_t	-0.121592648	
		i_adc_measurements[205]	float32_t	-0.0720005259	
		i_adc_measurements[206]	float32_t	0.179798096	
		i_adc_measurements[207]	float32_t	0.129061654	
		i_adc_measurements[208]	float32_t	-0.0946316496	
		i_adc_measurements[209]	float32_t	-0.0613107085	
		i_adc_measurements[210]	float32_t	-0.0277955309	
		i_adc_measurements[211]	float32_t	-0.102838367	
		i_adc_measurements[212]	float32_t	0.0742571205	
		i_adc_measurements[213]	float32_t	0.223957106	
		i_adc_measurements[214]	float32_t	-0.0551777445	
		i_adc_measurements[215]	float32_t	-0.210197508	
		i_adc_measurements[216]	float32_t	0.0619244687	
		i_adc_measurements[217]	float32_t	-0.0070925504	
		i_adc_measurements[218]	float32_t	-0.0317899808	
		i_adc_measurements[219]	float32_t	0.32106173	
		i_adc_measurements[220]	float32_t	-0.0886915922	
		i_adc_measurements[221]	float32_t	-0.419718325	
		i_adc_measurements[222]	float32_t	0.147747278	
		i_adc_measurements[223]	float32_t	0.220738053	
		i_adc_measurements[224]	float32_t	-0.114600003	
		i_adc_measurements[225]	float32_t	-0.0321970582	
		i_adc_measurements[226]	float32_t	0.138673455	
		i_adc_measurements[227]	float32_t	-0.0779549479	
		i_adc_measurements[228]	float32_t	-0.0768261552	
		i_adc_measurements[229]	float32_t	0.14819102	
		i_adc_measurements[230]	float32_t	-0.0251160562	
		i_adc_measurements[231]	float32_t	-0.0674788207	
		i_adc_measurements[232]	float32_t	0.0140707493	
		i_adc_measurements[233]	float32_t	0.041433692	
		i_adc_measurements[234]	float32_t	-0.0378370881	
		i_adc_measurements[235]	float32_t	-0.154239684	
		i_adc_measurements[236]	float32_t	0.126394153	
		i_adc_measurements[237]	float32_t	0.222154304	
		i_adc_measurements[238]	float32_t	-0.16049391	
		i_adc_measurements[239]	float32_t	-0.181261033	
		i_adc_measurements[240]	float32_t	0.104101717	
		i_adc_measurements[241]	float32_t	0.111614272	
		i_adc_measurements[242]	float32_t	0.0261432827	
		i_adc_measurements[243]	float32_t	-0.0802699476	
		i_adc_measurements[244]	float32_t	-0.165763259	
		i_adc_measurements[245]	float32_t	0.140985847	
		i_adc_measurements[246]	float32_t	0.150103956	
		i_adc_measurements[247]	float32_t	-0.170662999	
		i_adc_measurements[248]	float32_t	-0.0902630091	
		i_adc_measurements[249]	float32_t	0.0209837556	
		i_adc_measurements[250]	float32_t	0.130244732	
		i_adc_measurements[251]	float32_t	0.126514077	
		i_adc_measurements[252]	float32_t	-0.215139866	
		i_adc_measurements[253]	float32_t	-0.168247223	
		i_adc_measurements[254]	float32_t	0.292789459	
		i_adc_measurements[255]	float32_t	0.1176548	
		i_adc_measurements[256]	float32_t	-0.247926712	
		i_adc_measurements[257]	float32_t	-0.0536761284	
		i_adc_measurements[258]	float32_t	0.129463196	
		i_adc_measurements[259]	float32_t	0.0990371704	
		i_adc_measurements[260]	float32_t	-0.0567016602	
		i_adc_measurements[261]	float32_t	-0.173219681	
		i_adc_measurements[262]	float32_t	0.0722866058	
		i_adc_measurements[263]	float32_t	0.106714725	
		i_adc_measurements[264]	float32_t	-0.0951293707	
		i_adc_measurements[265]	float32_t	0.102337599	
		i_adc_measurements[266]	float32_t	0.138859749	
		i_adc_measurements[267]	float32_t	-0.163203448	
		i_adc_measurements[268]	float32_t	-0.296950758	
		i_adc_measurements[269]	float32_t	0.125544548	
		i_adc_measurements[270]	float32_t	0.255958438	
		i_adc_measurements[271]	float32_t	-0.156992972	
		i_adc_measurements[272]	float32_t	0.0539872646	
		i_adc_measurements[273]	float32_t	0.108965665	
		i_adc_measurements[274]	float32_t	-0.306135356	
		i_adc_measurements[275]	float32_t	-0.0443795919	
		i_adc_measurements[276]	float32_t	0.308390409	
		i_adc_measurements[277]	float32_t	0.102865487	
		i_adc_measurements[278]	float32_t	-0.164858848	
		i_adc_measurements[279]	float32_t	-0.232522324	
		i_adc_measurements[280]	float32_t	0.0444737673	
		i_adc_measurements[281]	float32_t	0.162140638	
		i_adc_measurements[282]	float32_t	0.141087651	
		i_adc_measurements[283]	float32_t	0.107151359	
		i_adc_measurements[284]	float32_t	-0.282160401	
		i_adc_measurements[285]	float32_t	-0.193258613	
		i_adc_measurements[286]	float32_t	0.214880437	
		i_adc_measurements[287]	float32_t	0.0486358404	
